F1_entropy,F2_chi_square,F3_length,F4_standard_key_len,F5_standard_iv_len,F6_memory_region,F7_change_count,F8_change_pattern,F9_entropy_length_interaction,F10_high_confidence_key,label
4.0,0.0,16.0,1.0,1.0,2.0,0.0,0.0,16.349851365001356,0.0,KEY
4.0,0.0,16.0,1.0,1.0,2.0,11.0,3.0,16.349851365001356,0.0,IV
4.453223149067329,0.0,64.0,1.0,0.0,2.0,11.0,3.0,26.818947757176293,0.0,PLAINTEXT
5.84375,0.0,64.0,1.0,0.0,2.0,11.0,3.0,35.19321190738503,0.0,CIPHERTEXT
4.0,0.0,16.0,1.0,1.0,2.0,3.0,1.0,16.349851365001356,0.0,KEY
4.0,0.0,16.0,1.0,1.0,2.0,11.0,3.0,16.349851365001356,0.0,KEY
4.584962500721156,0.0,24.0,1.0,1.0,2.0,0.0,0.0,21.291906488858938,0.0,KEY
4.0,0.0,16.0,1.0,1.0,2.0,11.0,3.0,16.349851365001356,0.0,IV
4.294508744675456,0.0,64.0,1.0,0.0,2.0,11.0,3.0,25.8631112367027,0.0,PLAINTEXT
5.6875,0.0,64.0,1.0,0.0,2.0,11.0,3.0,34.25221693659933,0.0,CIPHERTEXT
4.501629167387822,0.0,24.0,1.0,1.0,2.0,3.0,1.0,20.904918473044376,0.0,KEY
4.584962500721156,0.0,24.0,1.0,1.0,2.0,11.0,3.0,21.291906488858938,0.0,KEY
4.75,0.0,32.0,1.0,0.0,2.0,0.0,0.0,23.960872066952653,0.0,KEY
3.875,0.0,16.0,1.0,1.0,2.0,11.0,3.0,15.838918509845064,0.0,IV
4.219062198175603,0.0,64.0,1.0,0.0,2.0,11.0,3.0,25.40874438345783,0.0,PLAINTEXT
5.78125,0.0,64.0,1.0,0.0,2.0,11.0,3.0,34.81681391907075,0.0,CIPHERTEXT
4.9375,0.0,32.0,1.0,0.0,2.0,3.0,1.0,24.906695964332364,0.0,KEY
4.9375,0.0,32.0,1.0,0.0,2.0,11.0,3.0,24.906695964332364,0.0,KEY
4.9375,0.0,32.0,1.0,0.0,2.0,0.0,0.0,24.906695964332364,0.0,KEY
4.0,0.0,16.0,1.0,1.0,2.0,11.0,3.0,16.349851365001356,0.0,IV
4.622828664259099,0.0,64.0,1.0,0.0,2.0,11.0,3.0,27.840374552779323,0.0,PLAINTEXT
5.84375,0.0,64.0,1.0,0.0,2.0,11.0,3.0,35.19321190738503,0.0,CIPHERTEXT
4.875,0.0,32.0,1.0,0.0,2.0,3.0,1.0,24.59142133187246,0.0,KEY
4.8125,0.0,32.0,1.0,0.0,2.0,11.0,3.0,24.276146699412557,0.0,KEY
4.875,0.0,32.0,1.0,0.0,2.0,0.0,0.0,24.59142133187246,0.0,KEY
3.584962500721156,0.0,12.0,0.0,1.0,2.0,11.0,3.0,13.26593762571498,0.0,IV
4.425093945008262,0.0,64.0,1.0,0.0,2.0,11.0,3.0,26.649543344044865,0.0,PLAINTEXT
6.0719280948873635,0.0,80.0,0.0,0.0,2.0,11.0,3.0,38.495113349886886,0.0,CIPHERTEXT
5.0,0.0,32.0,1.0,0.0,2.0,3.0,1.0,25.221970596792268,0.0,KEY
4.8125,0.0,32.0,1.0,0.0,2.0,11.0,3.0,24.276146699412557,0.0,KEY
4.0,0.0,16.0,1.0,1.0,2.0,0.0,0.0,16.349851365001356,0.0,KEY
4.0,0.0,16.0,1.0,1.0,2.0,11.0,3.0,16.349851365001356,0.0,IV
4.884623781480403,0.0,64.0,1.0,0.0,2.0,11.0,3.0,29.417001040340917,0.0,PLAINTEXT
5.875,0.0,64.0,1.0,0.0,2.0,11.0,3.0,35.38141090154217,0.0,CIPHERTEXT
4.0,0.0,16.0,1.0,1.0,2.0,3.0,1.0,16.349851365001356,0.0,KEY
4.0,0.0,16.0,1.0,1.0,2.0,11.0,3.0,16.349851365001356,0.0,KEY
4.501629167387822,0.0,24.0,1.0,1.0,2.0,0.0,0.0,20.904918473044376,0.0,KEY
4.0,0.0,16.0,1.0,1.0,2.0,11.0,3.0,16.349851365001356,0.0,IV
